,VendorID,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
115,1,1.0,2.8,186,145,1,26.1,3.25,0.5,1.0,9.54,1.0,41.39,2.5,0.0,0.75
116,2,4.0,6.43,157,216,1,95.0,0.0,0.0,11.0,9.55,1.0,116.55,0.0,0.0,0.0
117,2,1.0,9.28,162,138,1,65.0,5.0,0.0,16.78,9.65,1.0,100.68,2.5,0.0,0.75
118,2,1.0,9.68,142,138,1,70.0,5.0,0.0,17.79,9.69,1.0,106.73,2.5,0.0,0.75
119,2,1.0,17.43,230,138,1,67.4,5.0,0.5,17.39,9.79,1.0,104.33,2.5,0.0,0.75
120,2,1.0,0.0,230,230,1,3.0,0.0,0.5,3.51,9.8,1.0,21.06,2.5,0.0,0.75
121,2,1.0,28.99,107,265,1,115.0,0.0,0.0,25.82,9.85,1.0,154.92,2.5,0.0,0.75
122,2,1.0,15.98,50,70,1,60.4,0.0,0.5,18.77,9.94,1.0,93.86,2.5,0.0,0.75
123,2,1.0,22.87,234,265,1,101.7,1.0,0.5,23.49,9.99,1.0,140.93,2.5,0.0,0.75
124,2,4.0,0.02,230,230,1,70.0,0.0,0.5,16.95,10.0,1.0,101.7,2.5,0.0,0.75
125,2,2.0,16.3,186,174,4,68.8,0.0,0.5,0.0,10.12,1.0,83.67,2.5,0.0,0.75
126,2,2.0,0.0,163,163,1,65.0,0.0,0.0,19.86,10.19,1.0,99.3,2.5,0.0,0.75
127,2,1.0,6.7,113,42,1,31.0,0.0,0.5,9.24,10.44,1.0,55.43,2.5,0.0,0.75
128,2,3.0,19.53,163,1,2,94.4,0.0,0.0,0.0,10.5,1.0,106.65,0.0,0.0,0.75
129,1,1.0,18.6,132,51,1,68.8,1.0,0.5,5.0,10.69,1.0,86.99,0.0,0.0,0.0
130,2,3.0,9.09,237,138,2,64.3,5.0,0.0,0.0,10.74,1.0,81.79,0.0,0.0,0.75
131,7,1.0,17.74,100,1,1,74.4,0.0,0.5,22.01,10.88,1.0,132.04,2.5,0.0,0.75
132,2,2.0,16.79,163,132,1,70.0,0.0,0.5,12.0,10.94,1.0,97.69,2.5,0.0,0.75
133,1,1.0,10.9,145,222,1,100.0,0.0,0.0,22.4,11.0,1.0,134.4,0.0,0.0,0.0
134,2,2.0,9.38,93,186,1,70.0,0.0,0.5,17.17,11.1,1.0,103.02,2.5,0.0,0.75
135,2,1.0,10.07,93,186,1,40.1,1.0,0.5,11.4,11.14,1.0,68.39,2.5,0.0,0.75
136,2,1.0,17.55,132,238,1,115.0,0.0,0.0,25.93,11.15,1.0,155.58,2.5,0.0,0.0
137,2,1.0,5.0,194,138,1,65.0,5.0,0.0,10.0,11.19,1.0,92.19,0.0,0.0,0.0
138,2,1.0,1.33,48,186,3,19.1,0.0,0.5,0.0,11.2,1.0,35.05,2.5,0.0,0.75
139,2,3.0,3.8,193,230,4,49.6,0.0,0.0,0.0,11.21,1.0,62.56,0.0,0.0,0.75
140,2,1.0,16.68,93,265,1,80.0,0.0,0.0,8.0,11.23,1.0,100.23,0.0,0.0,0.0
141,2,2.0,6.66,249,7,1,33.1,1.0,0.5,5.0,11.25,1.0,55.1,2.5,0.0,0.75
142,2,1.0,13.48,10,48,1,70.0,5.0,0.5,10.0,11.34,1.0,101.09,2.5,0.0,0.75
